Namiot 19PDH Jerzy 2020,ok; naddarty pokrowiec z jednej strony,Patryk
Zapałki 19PDH Jerzy 2020,pełen zestaw (10),Patryk
Maszty 19PDH Jerzy 2020,pełen zestaw,Patryk
Śledzie 19PDH Jerzy 2020,pełen zestaw (14),Patryk
Namiot turystyczny Fjord Nansen,ok,Kiernik
Maczeta Fiskars,ok,Józek
Kociołek,ok,Tymoteusz
Obuch,ok,skrzynia
siekiera,ok,skrzynia
siekiera,ok,skrzynia
młotek,ok,skrzynia
młotek,ok,skrzynia
miara 5M,ok,skrzynia
miara 5M,ok,skrzynia
Piła płatnica niebieska,ok,skrzynia
Piła kabłągowa,ok,skrzynia
Świder,nowy,?
